problem I,problem G,sol len,custom_time,custom_explored,custom_frontier,lmc_time,lmc_explored,lmc_frontier,LA_time,LA_explored,LA_frontier,LA_used2,PLA_time,PLA_explored,PLA_frontier,PLA_used2
"[['E', 'G', 'D', 'B'], ['F', 'C', 'A']]","[['C', 'G', 'E', 'D', 'A', 'F', 'B']]",10,1.9337985515594482,441,1402,3.0578558444976807,107,508,1.5907464027404785,102,488,282,1.1349706649780273,158,577,216
"[['C', 'A'], ['F', 'D', 'B', 'G', 'E']]","[['G', 'A', 'B', 'F', 'E', 'C', 'D']]",9,0.16156816482543945,117,410,1.1020534038543701,48,216,0.3610372543334961,45,213,87,0.20046329498291016,69,278,39
"[['C', 'B', 'A', 'E'], ['F', 'D', 'G']]","[['D', 'F', 'E', 'C', 'G', 'B', 'A']]",10,1.0870943069458008,393,1313,3.696122646331787,139,612,1.58176851272583,136,596,263,1.3573343753814697,190,625,133
"[['A', 'G', 'C', 'E'], ['B', 'D', 'F']]","[['F', 'D', 'A', 'C', 'B', 'E', 'G']]",10,1.5388543605804443,462,1516,3.2787764072418213,113,592,1.2566092014312744,110,581,266,1.4072375297546387,186,788,243
"[['A', 'C', 'D', 'B'], ['G', 'F', 'E']]","[['B', 'D', 'A', 'E', 'G', 'F', 'C']]",9,0.345109224319458,237,746,0.8606979846954346,43,170,0.4527580738067627,43,170,107,0.5535187721252441,158,605,76
"[['E', 'C', 'G'], ['A', 'D', 'F', 'B']]","[['A', 'E', 'B', 'C', 'G', 'F', 'D']]",11,33.03367829322815,2808,6157,28.752636671066284,981,3446,17.684715032577515,950,3362,2145,16.555737257003784,971,3357,1892
"[['E', 'G', 'A', 'F', 'B'], ['C', 'D']]","[['E', 'C', 'B', 'F', 'A', 'G', 'D']]",11,28.66187810897827,2437,5313,32.60482668876648,886,3093,20.12920117378235,875,3068,2007,19.60857081413269,901,3096,1839
"[['D'], ['B', 'E', 'C', 'A', 'G', 'F']]","[['E', 'F', 'D', 'C', 'A', 'G', 'B']]",11,3.4477827548980713,498,1929,6.1027185916900635,154,891,2.3057987689971924,149,865,330,2.153243064880371,154,863,288
"[['F', 'A', 'G', 'C'], ['D', 'B', 'E']]","[['D', 'G', 'B', 'C', 'A', 'F', 'E']]",9,0.5235991477966309,232,805,1.7981932163238525,55,263,0.7290501594543457,50,237,125,0.6253294944763184,128,525,73
"[['A', 'G', 'B', 'F'], ['E', 'D', 'C']]","[['G', 'F', 'C', 'B', 'D', 'E', 'A']]",9,0.0927886962890625,101,354,0.692112922668457,20,110,0.24235200881958008,18,93,44,0.2044534683227539,61,236,26
