problem I,problem G,sol len,custom_time,custom_explored,custom_frontier,lmc_time,lmc_explored,lmc_frontier,LA_time,LA_explored,LA_frontier,LA_used2,PLA_time,PLA_explored,PLA_frontier,PLA_used2
"{'p3_at_1', 'elevator_at_4', 'p1_at_8', 'p2_at_4', 'elevator_hold_0', 'p4_at_4', 'p5_at_2'}","{'p2_at_2', 'p1_at_4', 'p3_at_7', 'p4_at_7', 'p5_at_2'}",22,2.928175926,1872,2015,26.26397347,1645,1342,13.6485033,1249,1141,1604,10.10298777,1258,1147,1202
,,,,,,,,,,,,,,,,
"{'p4_at_3', 'p2_at_2', 'p1_at_2', 'elevator_at_0', 'elevator_hold_0', 'p3_at_6', 'p5_at_7'}","{'p3_at_1', 'p5_at_5', 'p1_at_1', 'p2_at_4', 'p4_at_6'}",23,3.404896498,1702,2589,17.96554017,996,991,11.09533334,830,878,1186,10.45504737,830,878,1094
"{'elevator_at_4', 'p4_at_3', 'p3_at_2', 'p5_at_5', 'p2_at_2', 'elevator_hold_0', 'p1_at_0'}","{'p4_at_3', 'p1_at_4', 'p3_at_4', 'p2_at_1', 'p5_at_4'}",18,0.467748165,625,771,7.809122562,530,613,3.916501284,361,462,517,3.093696117,361,462,483
"{'p3_at_0', 'p2_at_5', 'p1_at_1', 'p5_at_6', 'p4_at_8', 'elevator_at_3', 'elevator_hold_0'}","{'p4_at_3', 'p2_at_5', 'p3_at_3', 'p5_at_0', 'p1_at_7'}",27,11.7473526,3928,4307,38.29112697,2029,1746,26.10021782,1779,1605,2678,26.11973691,1779,1605,2606
"{'p3_at_0', 'p2_at_5', 'elevator_at_9', 'p1_at_9', 'p5_at_9', 'elevator_hold_0', 'p4_at_7'}","{'p3_at_0', 'p5_at_5', 'p1_at_3', 'p4_at_6', 'p2_at_3'}",14,0.009973526,34,70,0.774928093,48,84,0.461765766,46,82,78,0.188495874,43,80,38
"{'elevator_at_9', 'p5_at_0', 'p3_at_7', 'elevator_hold_0', 'p2_at_8', 'p4_at_5', 'p1_at_6'}","{'p3_at_0', 'p5_at_5', 'p2_at_4', 'p4_at_2', 'p1_at_7'}",26,22.32032275,6096,6419,81.88118815,4091,3486,52.13160396,3235,3217,4328,46.53711581,3248,3231,3989
"{'p2_at_5', 'elevator_at_1', 'elevator_hold_0', 'p4_at_9', 'p3_at_5', 'p1_at_6', 'p5_at_4'}","{'p3_at_2', 'p4_at_0', 'p5_at_8', 'p1_at_9', 'p2_at_1'}",27,47.45547199,7743,7379,30.64281797,1187,1220,24.50662684,1126,1196,2118,21.787745,1124,1198,1967
"{'elevator_at_6', 'p5_at_8', 'p2_at_4', 'p3_at_5', 'elevator_hold_0', 'p1_at_0', 'p4_at_4'}","{'p4_at_1', 'p1_at_8', 'p5_at_8', 'p3_at_8', 'p2_at_8'}",22,4.38427949,2856,2330,12.01886368,610,624,9.135576248,583,600,995,8.03651309,593,610,867
,,,,,,,,,,,,,,,,
"{'p3_at_0', 'p2_at_5', 'elevator_at_7', 'elevator_hold_0', 'p4_at_4', 'p1_at_6', 'p5_at_2'}","{'p2_at_9', 'p1_at_4', 'p4_at_2', 'p3_at_8', 'p5_at_9'}",26,67.09112787,11105,9802,27.17546964,1257,1366,24.88945556,1208,1345,2414,22.39711714,1297,1430,2140
"{'p2_at_9', 'p4_at_3', 'elevator_at_6', 'p5_at_5', 'p1_at_4', 'p3_at_7', 'elevator_hold_0'}","{'p5_at_5', 'p3_at_2', 'p4_at_0', 'p2_at_1', 'p1_at_0'}",22,1.00727582,965,1265,4.651577473,260,376,2.773586035,207,311,359,2.510288477,277,373,320
,,,,,,,,,,,,,,,,
"{'elevator_at_9', 'p4_at_8', 'p5_at_9', 'elevator_hold_0', 'p2_at_8', 'p1_at_5', 'p3_at_6'}","{'p3_at_1', 'p1_at_4', 'p4_at_2', 'p2_at_7', 'p5_at_3'}",22,17.55007744,4189,5466,27.25512838,1352,1816,18.47406769,1186,1695,2091,17.47342038,1318,1829,1932
"{'elevator_at_5', 'p5_at_8', 'p2_at_7', 'p4_at_6', 'p3_at_7', 'elevator_hold_0', 'p1_at_5'}","{'p1_at_4', 'p4_at_0', 'p5_at_8', 'p2_at_4', 'p3_at_8'}",19,5.467383623,2567,2773,2.899279833,144,200,3.353105783,142,201,337,3.404894829,321,392,376
"{'elevator_at_3', 'p1_at_3', 'p3_at_9', 'elevator_hold_0', 'p2_at_8', 'p4_at_4', 'p5_at_4'}","{'p2_at_2', 'p3_at_4', 'p1_at_9', 'p5_at_1', 'p4_at_5'}",24,13.73157954,4027,4587,26.7254715,1303,1165,22.53574872,1262,1155,2097,18.06726789,1277,1164,1700
"{'p1_at_8', 'p3_at_3', 'p2_at_6', 'elevator_at_9', 'p5_at_6', 'p4_at_6', 'elevator_hold_0'}","{'p2_at_9', 'p1_at_4', 'p3_at_9', 'p4_at_9', 'p5_at_2'}",24,35.51005936,6565,7556,40.48697567,1924,2119,28.82352638,1767,2047,3057,28.10240555,1791,2065,2833
"{'p3_at_4', 'p5_at_8', 'elevator_hold_0', 'p2_at_8', 'p1_at_7', 'p4_at_7', 'elevator_at_8'}","{'p3_at_3', 'p5_at_1', 'p2_at_1', 'p1_at_5', 'p4_at_4'}",21,6.731968164,2682,3485,27.57527208,1338,1750,19.35476303,1192,1595,2005,19.245543,1454,1854,1668
"{'p4_at_1', 'p3_at_4', 'elevator_at_9', 'p5_at_1', 'p2_at_3', 'p1_at_7', 'elevator_hold_0'}","{'p4_at_1', 'p3_at_3', 'p5_at_0', 'p2_at_8', 'p1_at_0'}",25,25.8000195,5979,5655,17.65231347,749,946,15.13652849,710,922,1470,14.31073737,710,922,1410
,,,,,,,,,,,,,,,,
"{'elevator_at_6', 'p2_at_7', 'p1_at_3', 'p5_at_9', 'p3_at_5', 'elevator_hold_0', 'p4_at_4'}","{'p4_at_1', 'p1_at_1', 'p3_at_4', 'p5_at_6', 'p2_at_1'}",21,0.06981349,178,289,3.682154894,185,255,2.385621786,164,231,272,1.116015196,241,306,139
"{'p2_at_9', 'elevator_at_4', 'p1_at_1', 'p3_at_4', 'elevator_hold_0', 'p4_at_9', 'p5_at_2'}","{'p1_at_3', 'p5_at_9', 'p3_at_5', 'p2_at_8', 'p4_at_4'}",26,4.075073957,2419,2589,28.01277494,1577,1059,14.57799554,1179,920,1544,12.43276048,1181,920,1313
"{'p4_at_1', 'elevator_at_7', 'p3_at_3', 'p5_at_1', 'p1_at_3', 'p2_at_0', 'elevator_hold_0'}","{'p1_at_4', 'p4_at_0', 'p3_at_3', 'p5_at_6', 'p2_at_1'}",21,1.186826944,1138,1297,3.39891243,218,249,2.96207881,213,249,408,2.777607203,213,249,389
"{'p3_at_1', 'p4_at_1', 'elevator_at_1', 'p5_at_8', 'p2_at_7', 'p1_at_9', 'elevator_hold_0'}","{'p3_at_3', 'p2_at_7', 'p1_at_2', 'p5_at_9', 'p4_at_4'}",23,2.231509924,1714,1762,9.641227961,588,462,7.044165611,509,417,749,6.238324642,511,417,637
